-105175,-38475
-105125,-38500
-105075,-38525
-105025,-38525
-104975,-38475
-104925,-38475
-104875,-38475
-104825,-38475
-104775,-38475
-104725,-38475
-104675,-38475
-104625,-38475
-104575,-38475
-104525,-38475
-104475,-38475
-104425,-38525
-104375,-38525
-104325,-38550
-104275,-38575
-104225,-38625
-104175,-38625
-104125,-38625
-104075,-38625
-104025,-38675
-103975,-38675
-103925,-38725
-103875,-38725
-103825,-38750
-103775,-38775
-103725,-38825
-103675,-38825
-103625,-38825
-103575,-38875
-103525,-38875
-103475,-38925
-103425,-38925
-103375,-38925
-103325,-38975
-103275,-38975
-103225,-38975
-103175,-39000
-103125,-39025
-103075,-39025
-103025,-39025
-102975,-39075
-102925,-39075
-102875,-39075
-102825,-39075
-102775,-39075
-102725,-39075
-102675,-39075
-102625,-39075
-102575,-39075
-102525,-39075
-102475,-39075
-102425,-39075
-102375,-39075
-102325,-39075
-102275,-39100
-102225,-39125
-102175,-39125
-102125,-39125
-102075,-39175
-102025,-39175
-101975,-39175
-101925,-39225
-101875,-39225
-101825,-39250
-101775,-39275
-101725,-39300
-101675,-39325
-101625,-39325
-101575,-39325
-101525,-39325
-101475,-39325
-101425,-39325
-101375,-39325
-101325,-39325
-101275,-39325
-101225,-39325
-101175,-39325
-101125,-39325
-101075,-39325
-101025,-39325
-100975,-39325
-100925,-39325
-100875,-39325
-100825,-39275
-100775,-39275
-100725,-39275
-100675,-39275
-100625,-39275
-100575,-39225
-100525,-39225
-100475,-39225
-100425,-39175
-100375,-39150
-100325,-39125
-100275,-39075
-100225,-39075
-100175,-39025
-100125,-39025
-100075,-38975
-100025,-38975
-99975,-38925
-99925,-38925
-99875,-38900
-99825,-38875
-99775,-38875
-99725,-38850
-99675,-38825
-99625,-38825
-99575,-38775
-99525,-38775
-99475,-38775
-99425,-38775
-99375,-38775
-99325,-38775
-99275,-38775
-99225,-38775
-99175,-38775
-99125,-38775
-99075,-38775
-99025,-38775
-98975,-38775
-98925,-38775
-98875,-38775
-98825,-38725
-98775,-38725
-98725,-38725
-98675,-38675
-98625,-38675
-98575,-38675
-98525,-38675
-98475,-38675
-98425,-38725
-98375,-38775
-98325,-38775
-98275,-38825
-98225,-38825
-98175,-38875
-98125,-38875
-98075,-38875
-98025,-38875
-97975,-38925
-97925,-38925
-97875,-38975
-97825,-38975
-97775,-39025
-97725,-39025
-97675,-39025
-97625,-39075
-97575,-39075
